Global_active_power,Global_reactive_power,Voltage,Global_intensity,hour,dayofweek,month,pf_lag1,pf_lag96,pf_rolling_mean_96,pf_rolling_std_96
0.018859837,0,0.774257426,0.019230769,0.608695652,0.666666667,0.090909091,0.86342111,0.993940924,0.944824408,0.195369919
0.147235319,0.049261084,0.732673267,0.134615385,0.608695652,0.666666667,0.090909091,1,0.993416118,0.944904631,0.195413365
0.148521217,0.077175698,0.730363036,0.134615385,0.652173913,0.666666667,0.090909091,0.997580832,1,0.944792326,0.19534909
0.171881697,0.0591133,0.666666667,0.158653846,0.652173913,0.666666667,0.090909091,0.994169769,0.969919187,0.945321757,0.195513954
0.19331333,0.139573071,0.607260726,0.182692308,0.652173913,0.666666667,0.090909091,0.997404212,0.976979203,0.945543592,0.195578179
0.360908701,0.426929392,0.573267327,0.341346154,0.652173913,0.666666667,0.090909091,0.988495617,0.995021022,0.945027712,0.195439006
0.153450493,0.055829228,0.620792079,0.144230769,0.695652174,0.666666667,0.090909091,0.968239445,0.969685039,0.945556323,0.195599651
0.064080583,0.154351396,0.707260726,0.072115385,0.695652174,0.666666667,0.090909091,0.997127523,0.977150195,0.94399823,0.196516668
0.043077583,0.26272578,0.60660066,0.052884615,0.695652174,0.666666667,0.090909091,0.896262936,0.995214337,0.934911846,0.229608371
0.024217745,0.060755337,0.515511551,0.024038462,0.695652174,0.666666667,0.090909091,0.523501243,0.970348129,0.933932462,0.229880692
0.024003429,0,0.579867987,0.028846154,0.739130435,0.666666667,0.090909091,0.919504092,1,0.933932462,0.229880692
0.034933562,0.155993432,0.533993399,0.038461538,0.739130435,0.666666667,0.090909091,1,1,0.928736285,0.237898914
0.017788255,0,0.645544554,0.019230769,0.739130435,0.666666667,0.090909091,0.730244209,0.994395779,0.928844236,0.237965354
0.059365624,0.064039409,0.493069307,0.057692308,0.739130435,0.666666667,0.090909091,1,1,0.928432714,0.237763327
0.06600943,0.147783251,0.49669967,0.067307692,0.782608696,0.666666667,0.090909091,0.978636101,0.923920684,0.92814783,0.23795425
0.054650664,0.041050903,0.531683168,0.052884615,0.782608696,0.666666667,0.090909091,0.909131129,0.877815031,0.930304902,0.237086118
0.066866695,0.070607553,0.588448845,0.0625,0.782608696,0.666666667,0.090909091,0.98979788,1,0.929899362,0.236890468
0.058508358,0,0.444224422,0.057692308,0.782608696,0.666666667,0.090909091,0.978946704,0.984205706,0.9302036,0.23705023
0.200814402,0.167487685,0.429372937,0.192307692,0.826086957,0.666666667,0.090909091,1,0.985539563,0.930186121,0.237043043
0.234033433,0.137931034,0.413531353,0.225961538,0.826086957,0.666666667,0.090909091,0.984632139,1,0.930036012,0.236954667
0.301543078,0.200328407,0.354785479,0.288461538,0.826086957,0.666666667,0.090909091,0.992207197,0.997370975,0.929893173,0.236875957
0.290827261,0.187192118,0.437953795,0.278846154,0.826086957,0.666666667,0.090909091,0.989955588,0.995377724,0.929800892,0.236826008
0.288898414,0.098522167,0.451155116,0.274038462,0.869565217,0.666666667,0.090909091,0.990587047,0.998658557,0.929775669,0.236810307
0.307329619,0.129720854,0.446864686,0.293269231,0.869565217,0.666666667,0.090909091,0.997349101,0.999661995,0.92970375,0.236765743
0.253536219,0,0.49009901,0.240384615,0.869565217,0.666666667,0.090909091,0.995928396,0.964397228,0.93038955,0.237016966
0.246035148,0.090311987,0.558085809,0.230769231,0.869565217,0.666666667,0.090909091,1,0.998876415,0.93035262,0.236994232
0.257393913,0,0.488448845,0.245192308,0.913043478,0.666666667,0.090909091,0.99695927,0.999231776,0.930367418,0.237003747
0.261894556,0.088669951,0.469636964,0.25,0.913043478,0.666666667,0.090909091,1,0.977653187,0.930747833,0.237173825
0.249249893,0,0.455775578,0.235576923,0.913043478,0.666666667,0.090909091,0.997402156,0.99311022,0.930880548,0.237252044
0.286755251,0.11001642,0.506270627,0.269230769,0.913043478,0.666666667,0.090909091,1,0.998525006,0.930844383,0.237230149
0.273253322,0.087027915,0.474587459,0.259615385,0.956521739,0.666666667,0.090909091,0.996647537,0.988110904,0.931028996,0.237327924
0.210458637,0.167487685,0.534983498,0.197115385,0.956521739,0.666666667,0.090909091,0.997694931,0.988679977,0.930976354,0.237304794
0.442348907,0.151067323,0.474257426,0.418269231,0.956521739,0.666666667,0.090909091,0.98594712,0.99792383,0.930964126,0.2372974
0.1915988,0.170771757,0.562376238,0.182692308,0.956521739,0.666666667,0.090909091,0.997289017,0.988181504,0.930855389,0.237252933
0.169309901,0.073891626,0.554785479,0.158653846,1,0.666666667,0.090909091,0.982536486,0.998064273,0.930812337,0.237227299
